feature,importance
IsActiveMember,0.22663869042914794
Age,0.08897470314724934
CreditScore_Age_Interaction,0.07965741766002372
EstimatedSalary,0.07625411569225313
Balance,0.07491220511831304
Balance_to_Salary_Ratio,0.07194162622509098
CreditScore,0.07189975667843357
NumOfProducts,0.06190833655895922
Products_per_Tenure,0.0590286678327234
Age_65+,0.05883304374235789
Tenure,0.037718319045433976
Age_55-65,0.015201869373673875
Geography_Spain,0.014505944999711872
HasCrCard,0.013201895525606258
Geography_Germany,0.012669059522677604
Age_35-45,0.010181272054869822
Age_45-55,0.010086337235105183
Age_25-35,0.009287131358612265
Is_High_Value,0.007099607799756916
